AGE,SEX,SCHL,WORK,INCOME
37,남,고졸,기업,15000
40,남,학사,기업,78200
29,남,고졸,기업,40000
33,남,중졸이하,기업,25000
29,남,중졸이하,기업,12000
33,여,중졸이하,자영업,14400
39,남,중졸이하,자영업,26000
40,여,중졸이하,기업,24000
22,남,고졸,공무원,28000
38,남,석사,공무원,47020
35,여,석사,비영리단체,null
45,여,고졸,기업,20000
50,여,전문학사,기업,28000
50,여,전문학사,기업,52000
30,여,중졸이하,기업,20000
34,남,고졸,기업,33000
46,여,학사,비영리단체,47000
43,남,전문학사,기업,36000
35,남,고졸,기업,24000
28,남,중졸이하,기업,22000
32,여,학사,비영리단체,18200
40,남,고졸,기업,27000
43,남,학사,기업,103000
45,남,학사,자영업,30000
39,여,석사,기업,80000
31,남,학사,기업,99800
43,여,고졸,기업,15000
48,남,중졸이하,기업,42000
48,남,학사,기업,50000
42,여,석사,공무원,43000
44,남,전문학사,기업,30000
30,남,고졸,기업,21000
41,남,고졸,공무원,70000
43,여,고졸,기업,21700
46,남,고졸,비영리단체,12000
23,남,고졸,기업,40000
24,남,고졸,기업,30000
42,남,고졸,기업,20000
39,여,고졸,기업,40000
50,여,전문학사,기업,80500
22,여,전문학사,기업,7900
46,남,전문학사,공무원,58000
43,여,고졸,기업,22800
44,남,전문학사,공무원,85000
50,남,전문학사,자영업,217000
41,남,전문학사,기업,76000
34,여,전문학사,비영리단체,35000
20,남,중졸이하,기업,9000
40,여,전문학사,공무원,35000
37,남,고졸,기업,13000
50,남,고졸,기업,80400
32,남,학사,기업,53000
49,남,학사,공무원,94000
25,남,전문학사,기업,43000
45,남,고졸,기업,7000
43,여,전문학사,기업,18000
45,남,고졸,자영업,11000
33,여,고졸,기업,38800
47,여,고졸,기업,15000
46,남,전문학사,자영업,30000
36,남,석사,기업,24000
36,여,학사,공무원,26000
41,남,전문학사,기업,70000
44,남,전문학사,공무원,35000
34,여,고졸,기업,12000
49,남,전문학사,공무원,40000
50,남,중졸이하,기업,27000
45,여,중졸이하,공무원,30000
43,남,석사,공무원,103000
46,여,전문학사,기업,38000
39,여,고졸,기업,65000
34,남,고졸,기업,40000
26,남,고졸,기업,20000
